tag,timestamp,event,free_heap,min_free_heap,total_allocated_bytes,total_free_bytes,largest_free_block
MEMLOG,462,Before WiFi init,385084,384776,15388,385084,352256
MEMLOG,14942,After WiFi init,334292,331408,65572,334292,303104
MEMLOG,16082,Before HTTP request,334328,331408,65540,334328,303104
MEMLOG,16972,After HTTP request,333740,325588,66088,333740,303104
MEMLOG,17022,Before HTTP request,333740,325588,66088,333740,303104
MEMLOG,17552,After HTTP request,333284,325588,66536,333284,303104
MEMLOG,21662,Before HTTP request,333456,325588,66364,333456,303104
MEMLOG,22202,After HTTP request,333092,324936,66712,333092,303104
MEMLOG,26812,Before HTTP request,333244,324936,66572,333244,303104
MEMLOG,27212,After HTTP request,332880,324724,66920,332880,303104
MEMLOG,35352,Before HTTP request,333032,324724,66780,333032,303104
MEMLOG,36022,After HTTP request,332668,324512,67128,332668,303104
MEMLOG,39612,Before HTTP request,332820,324512,66988,332820,303104
MEMLOG,40122,After HTTP request,332456,324300,67336,332456,303104
MEMLOG,44222,Before HTTP request,332608,324300,67196,332608,303104
MEMLOG,44652,After HTTP request,332244,324088,67544,332244,303104
MEMLOG,49272,Before HTTP request,332396,324088,67404,332396,303104
MEMLOG,49742,After HTTP request,331784,323876,67996,331784,303104
MEMLOG,53332,Before HTTP request,332184,323876,67612,332184,303104
MEMLOG,53842,After HTTP request,331820,323664,67960,331820,303104
MEMLOG,70052,Before HTTP request,331972,323664,67820,331972,303104
MEMLOG,70632,After HTTP request,331368,323452,68404,331368,303104
MEMLOG,71212,Before HTTP request,331768,323452,68020,331768,303104
MEMLOG,71862,After HTTP request,331400,323216,68372,331400,303104
MEMLOG,79502,Before HTTP request,331512,323216,68268,331512,303104
MEMLOG,80052,After HTTP request,331176,323020,68592,331176,303104